date_key,year,quarter,month,month_name,week_of_year,day_of_month,day_name,year_quarter,year_month
2014-10-06 00:00:00,2014,4,10,October,41,6,Monday,2014-Q4,2014-10
2014-10-07 00:00:00,2014,4,10,October,41,7,Tuesday,2014-Q4,2014-10
2014-10-08 00:00:00,2014,4,10,October,41,8,Wednesday,2014-Q4,2014-10
2014-10-09 00:00:00,2014,4,10,October,41,9,Thursday,2014-Q4,2014-10
2014-10-10 00:00:00,2014,4,10,October,41,10,Friday,2014-Q4,2014-10
2014-10-11 00:00:00,2014,4,10,October,41,11,Saturday,2014-Q4,2014-10
2014-10-12 00:00:00,2014,4,10,October,41,12,Sunday,2014-Q4,2014-10
2014-10-13 00:00:00,2014,4,10,October,42,13,Monday,2014-Q4,2014-10
2014-10-14 00:00:00,2014,4,10,October,42,14,Tuesday,2014-Q4,2014-10
2014-10-15 00:00:00,2014,4,10,October,42,15,Wednesday,2014-Q4,2014-10
2014-10-16 00:00:00,2014,4,10,October,42,16,Thursday,2014-Q4,2014-10
2014-10-17 00:00:00,2014,4,10,October,42,17,Friday,2014-Q4,2014-10
2014-10-18 00:00:00,2014,4,10,October,42,18,Saturday,2014-Q4,2014-10
2014-10-19 00:00:00,2014,4,10,October,42,19,Sunday,2014-Q4,2014-10
2014-10-20 00:00:00,2014,4,10,October,43,20,Monday,2014-Q4,2014-10
2014-10-21 00:00:00,2014,4,10,October,43,21,Tuesday,2014-Q4,2014-10
2014-10-22 00:00:00,2014,4,10,October,43,22,Wednesday,2014-Q4,2014-10
2014-10-24 00:00:00,2014,4,10,October,43,24,Friday,2014-Q4,2014-10
2014-10-25 00:00:00,2014,4,10,October,43,25,Saturday,2014-Q4,2014-10
2014-10-26 00:00:00,2014,4,10,October,43,26,Sunday,2014-Q4,2014-10
2014-10-27 00:00:00,2014,4,10,October,44,27,Monday,2014-Q4,2014-10
2014-10-28 00:00:00,2014,4,10,October,44,28,Tuesday,2014-Q4,2014-10
2014-10-29 00:00:00,2014,4,10,October,44,29,Wednesday,2014-Q4,2014-10
2014-10-31 00:00:00,2014,4,10,October,44,31,Friday,2014-Q4,2014-10
2014-11-01 00:00:00,2014,4,11,November,44,1,Saturday,2014-Q4,2014-11
2014-11-02 00:00:00,2014,4,11,November,44,2,Sunday,2014-Q4,2014-11
2014-11-03 00:00:00,2014,4,11,November,45,3,Monday,2014-Q4,2014-11
